,Year,Rank,DJ Name
1857,2013,69,MOSIMANN
1859,2013,70,Project 46
1861,2013,71,Blasterjaxx
1863,2013,72,D-Block & S-te-Fan
1865,2013,73,Dillon Francis
1867,2013,74,Dannic
1869,2013,75,Adaro
1871,2013,76,Richie Hawtin
1873,2013,77,Martin Solveig
1875,2013,78,Felguk
1877,2013,79,Myon & Shane 54
1879,2013,80,Cosmic Gate
1881,2013,81,Heatbeat
1883,2013,82,John O'Callaghan
1885,2013,83,Wasted Penguinz
1887,2013,84,Tiddey
1889,2013,85,Skazi
1891,2013,86,Da Tweekaz
1893,2013,87,Tenashar
1895,2013,88,Bob Sinclair
1897,2013,89,Benny Benassi
1899,2013,90,Stafford Brothers
1901,2013,91,Bl3nd
1903,2013,92,Paul Oakenfold
1905,2013,93,Mat Zo
1907,2013,94,Diego Miranda
1909,2013,95,DJs From Mars
1911,2013,96,Matt Darey
1913,2013,97,Umek
1915,2013,98,Solarstone
1917,2013,99,Ummet Ozcan
1919,2013,100,Ran-D
1921,2014,1,Hardwell
1923,2014,2,Dimitri Vegas & Like Mike
1925,2014,3,Armin Van Buuren
1927,2014,4,Martin Garrix
1929,2014,5,Tiësto
1931,2014,6,Avicii
1933,2014,7,David Guetta
1935,2014,8,Nicky Romero
1937,2014,9,Skrillex
1939,2014,10,Steve Aoki
1941,2014,11,Calvin Harris
1943,2014,12,Afrojack
1945,2014,13,Blasterjaxx
1947,2014,14,Dash Berlin
1949,2014,15,Alesso
1951,2014,16,Deadmau5
1953,2014,17,Showtek
1955,2014,18,W&W
1957,2014,19,Deorro
1959,2014,20,DVBBS
1961,2014,21,Nervo
1963,2014,22,Zedd
1965,2014,23,R3hab
1967,2014,24,Andrew Rayel
1969,2014,25,Above & Beyond
1971,2014,26,Steve Angello
1973,2014,27,Dyro
1975,2014,28,Aly & Fila
1977,2014,29,Axwell
1979,2014,30,Dannic
1981,2014,31,Ummet Ozcan
1983,2014,32,Diplo
1985,2014,33,Krewella
1987,2014,34,Oliver Heldens
1989,2014,35,Fedde Le Grand
1991,2014,36,Vicetone
1993,2014,37,Angerfist
1995,2014,38,Paul van Dyk
1997,2014,39,Sebastian Ingrosso
1999,2014,40,Headhunterz
2001,2014,41,Borgore
2003,2014,42,Kura
2005,2014,43,Daft Punk
2007,2014,44,Markus Schulz
2009,2014,45,Frontliner
2011,2014,46,Kaskade
2013,2014,47,Brennan Heart
2015,2014,48,Coone
2017,2014,49,Infected Mushroom
2019,2014,50,Laidback Luke
2021,2014,51,Sander Van Doorn
2023,2014,52,Dada Life
2025,2014,53,Knife Party
2027,2014,54,Dillon Francis
2029,2014,55,Yves V
2031,2014,56,Firebeatz
2033,2014,57,Porter Robinson
2035,2014,58,ATB
2037,2014,59,Carl Cox
2039,2014,60,Eric Prydz
2041,2014,61,Gabry Ponte
2043,2014,62,VINAI
2045,2014,63,MAKJ
2047,2014,64,Radical Redemption
2049,2014,65,DJ Snake
2051,2014,66,Da Tweekaz
2053,2014,67,Noisecontrollers
2055,2014,68,Carnage
2057,2014,69,Cosmic Gate
2059,2014,70,Diego Miranda
2061,2014,71,Zatox
2063,2014,72,MOSIMANN
2065,2014,73,Tenishia
2067,2014,74,Gareth Emery
2069,2014,75,Umek
2071,2014,76,Tiddey
2073,2014,77,Zomboy
2075,2014,78,Bl3nd
2077,2014,79,Orjan Nilsen
2079,2014,80,TJR
2081,2014,81,3lau
2083,2014,82,Don Diablo
2085,2014,83,Madeon
2087,2014,84,Wolfpack
2089,2014,85,Mike Candys
2091,2014,86,Quintino
2093,2014,87,Borgeous
2095,2014,88,Audien
2097,2014,89,Boy George
2099,2014,90,Richie Hawtin
2101,2014,91,Ferry Corsten
2103,2014,92,Code Black
2105,2014,93,Heatbeat
2107,2014,94,Merk & Kremont
2109,2014,95,Wildstylez
2111,2014,96,Bingo Players
2113,2014,97,The Chainsmokers
2115,2014,98,John O'Callaghan
2117,2014,99,Arty
2119,2014,100,Felguk
2121,2015,1,Dimitri Vegas & Like Mike
2123,2015,2,Hardwell
2125,2015,3,Martin Garrix
2127,2015,4,Armin Van Buuren
2129,2015,5,Tiësto
2131,2015,6,David Guetta
2133,2015,7,Avicii
2135,2015,8,Afrojack
2137,2015,9,Skrillex
2139,2015,10,Steve Aoki
2141,2015,11,Calvin Harris
2143,2015,12,Oliver Heldens
2145,2015,13,Alesso
2147,2015,14,W&W
2149,2015,15,Dash Berlin
2151,2015,16,DVBBS
2153,2015,17,Axwell Λ Ingrosso
2155,2015,18,Nicky Romero
2157,2015,19,Blasterjaxx
2159,2015,20,Diplo
2161,2015,21,R3hab
2163,2015,22,Zedd
2165,2015,23,KSHMR
2167,2015,24,Nervo
2169,2015,25,Deadmau5
2171,2015,26,Dannic
2173,2015,27,Dyro
2175,2015,28,Deorro
2177,2015,29,Above & Beyond
2179,2015,30,Don Diablo
2181,2015,31,Steve Angello
2183,2015,32,DJ Snake
2185,2015,33,Kygo
2187,2015,34,Yves V
2189,2015,35,Fedde Le Grand
2191,2015,36,Ummet Ozcan
2193,2015,37,Showtek
2195,2015,38,Angerfist
2197,2015,39,Bassjackers
2199,2015,40,Andrew Rayel
2201,2015,41,Paul van Dyk
2203,2015,42,Aly & Fila
2205,2015,43,VINAI
2207,2015,44,Alok
2209,2015,45,Jack U
2211,2015,46,Tom Swoon
2213,2015,47,Shogun
2215,2015,48,Headhunterz
2217,2015,49,Coone
2219,2015,50,Vicetone
2221,2015,51,Richie Hawtin
2223,2015,52,Wolfpack
2225,2015,53,Brennan Heart
2227,2015,54,Major Lazer
2229,2015,55,Porter Robinson
2231,2015,56,Markus Schulz
2233,2015,57,Eric Prydz
2235,2015,58,Diego Miranda
2237,2015,59,DJ Chetas
2239,2015,60,Danny Avila
2241,2015,61,Kura
2243,2015,62,tchami
2245,2015,63,Carl Cox
2247,2015,64,Laidback Luke
2249,2015,65,Disclosure
2251,2015,66,Firebeatz
2253,2015,67,Dillon Francis
2255,2015,68,Borgore
2257,2015,69,Daft Punk
2259,2015,70,Umek
2261,2015,71,Tenishia
2263,2015,72,Radical Redemption
2265,2015,73,Frontliner
2267,2015,74,Borgeous
2269,2015,75,Netsky
2271,2015,76,Yellow Claw
2273,2015,77,Chuckie
2275,2015,78,Will Sparks
2277,2015,79,Da Tweekaz
2279,2015,80,Quintino
2281,2015,81,Krewella
2283,2015,82,ATB
2285,2015,83,MAKJ
2287,2015,84,Kaskade
2289,2015,85,Ferry Corsten
2291,2015,86,Flux Pavilion
2293,2015,87,Zatox
2295,2015,88,Carnage
2297,2015,89,Robin Schulz
2299,2015,90,Sander Van Doorn
2301,2015,91,MaRLo
2303,2015,92,Andy C
2305,2015,93,MOSIMANN
2307,2015,94,Miss K8
2309,2015,95,Tujamo
2311,2015,96,Mike Candys
2313,2015,97,Swanky Tunes
2315,2015,98,Galantis
2317,2015,99,Cosmic Gate
2319,2015,100,Knife Party
2321,2016,1,Martin Garrix
2323,2016,2,Dimitri Vegas & Like Mike
2325,2016,3,Hardwell
2327,2016,4,Armin Van Buuren
2329,2016,5,Tiësto
2331,2016,6,David Guetta
2333,2016,7,Steve Aoki
2335,2016,8,Oliver Heldens
2337,2016,9,Skrillex
2339,2016,10,Afrojack
2341,2016,11,Avicii
2343,2016,12,KSHMR
2345,2016,13,W&W
2347,2016,14,Calvin Harris
2349,2016,15,Don Diablo
2351,2016,16,Axwell Λ Ingrosso
2353,2016,17,Dash Berlin
2355,2016,18,The Chainsmokers
2357,2016,19,Ummet Ozcan
2359,2016,20,Alesso
2361,2016,21,R3hab
2363,2016,22,DJ Snake
2365,2016,23,Diplo
2367,2016,24,DVBBS
2369,2016,25,Alok
2371,2016,26,Kygo
2373,2016,27,Swanky Tunes
2375,2016,28,Marshmello
2377,2016,29,Nicky Romero
2379,2016,30,Steve Angello
2381,2016,31,Deadmau5
2383,2016,32,Quintino
2385,2016,33,DJ Chetas
2387,2016,34,Bassjackers
2389,2016,35,Zedd
2391,2016,36,Headhunterz
2393,2016,37,VINAI
2395,2016,38,Florian Picasso
2397,2016,39,Galantis
2399,2016,40,Jack U
2401,2016,41,Aly & Fila
2403,2016,42,Shogun
2405,2016,43,Blasterjaxx
2407,2016,44,Major Lazer
2409,2016,45,Nervo
2411,2016,46,Angerfist
2413,2016,47,Above & Beyond
2415,2016,48,Yellow Claw
2417,2016,49,MaRLo
2419,2016,50,Fedde Le Grand
2421,2016,51,Kura
2423,2016,52,Lost Stories
2425,2016,53,Deorro
2427,2016,54,Vintage Culture
2429,2016,55,Alan Walker
2431,2016,56,Tom Swoon
2433,2016,57,Coone
2435,2016,58,Diego Miranda
2437,2016,59,Brennan Heart
2439,2016,60,Paul van Dyk
2441,2016,61,ATB
2443,2016,62,Yves V
2445,2016,63,Wolfpack
2447,2016,64,Dillon Francis
2449,2016,65,Andrew Rayel
2451,2016,66,Eric Prydz
2453,2016,67,Felguk
2455,2016,68,Radical Redemption
2457,2016,69,Robin Schulz
2459,2016,70,Dannic
2461,2016,71,Da Tweekaz
2463,2016,72,Daft Punk
2465,2016,73,Will Sparks
2467,2016,74,Carl Cox
2469,2016,75,Timmy Trumpet
2471,2016,76,Borgore
2473,2016,77,Firebeatz
2475,2016,78,Tujamo
2477,2016,79,Laidback Luke
2479,2016,80,Markus Schulz
2481,2016,81,Vicetone
2483,2016,82,Martin Jensen
2485,2016,83,Jauz
2487,2016,84,Carnage
2489,2016,85,Netsky
2491,2016,86,Carl Nunes
2493,2016,87,Sam Feldt
2495,2016,88,Miss K8
2497,2016,89,Jay Hardway
2499,2016,90,Porter Robinson
2501,2016,91,Bobina
2503,2016,92,Zatox
2505,2016,93,Dyro
2507,2016,94,Flume
2509,2016,95,Infected Mushroom
2511,2016,96,Showtek
2513,2016,97,Daddy's Groove
2515,2016,98,Martin Solveig
2517,2016,99,Ferry Corsten
2519,2016,100,DJ Feel
2521,2017,1,Martin Garrix
2523,2017,2,Dimitri Vegas & Like Mike
2525,2017,3,Armin Van Buuren
2527,2017,4,Hardwell
2529,2017,5,Tiësto
2531,2017,6,The Chainsmokers
2533,2017,7,David Guetta
2535,2017,8,Afrojack
2537,2017,9,Steve Aoki
2539,2017,10,Marshmello
2541,2017,11,Don Diablo
2543,2017,12,KSHMR
2545,2017,13,Oliver Heldens
2547,2017,14,W&W
2549,2017,15,Calvin Harris
2551,2017,16,Skrillex
2553,2017,17,Alan Walker
2555,2017,18,R3hab
2557,2017,19,Alok
2559,2017,20,Dash Berlin
2561,2017,21,Axwell Λ Ingrosso
2563,2017,22,DVBBS
2565,2017,23,DJ Snake
2567,2017,24,Kygo
2569,2017,25,Diplo
2571,2017,26,Lost Frequencies
2573,2017,27,Above & Beyond
2575,2017,28,Avicii
2577,2017,29,Zedd
2579,2017,30,Quintino
2581,2017,31,Vintage Culture
2583,2017,32,VINAI
2585,2017,33,Headhunterz
2587,2017,34,Eric Prydz
2589,2017,35,Bassjackers
2591,2017,36,Blasterjaxx
2593,2017,37,Alesso
2595,2017,38,Ummet Ozcan
2597,2017,39,Fedde Le Grand
2599,2017,40,Angerfist
2601,2017,41,Wolfpack
2603,2017,42,Nervo
2605,2017,43,Timmy Trumpet
2607,2017,44,Radical Redemption
2609,2017,45,Major Lazer
2611,2017,46,Tujamo
2613,2017,47,Tom Swoon
2615,2017,48,Kura
2617,2017,49,Deadmau5
2619,2017,50,Nicky Romero
2621,2017,51,Paul van Dyk
2623,2017,52,Danny Avila
2625,2017,53,Aly & Fila
2627,2017,54,ATB
2629,2017,55,Yves V
2631,2017,56,Diego Miranda
2633,2017,57,Yellow Claw
2635,2017,58,Miss K8
2637,2017,59,Brennan Heart
2639,2017,60,Mike Williams
2641,2017,61,Dannic
2643,2017,62,Carl Cox
2645,2017,63,Carl Nunes
2647,2017,64,Lucas & Steve
2649,2017,65,Warface
2651,2017,66,Galantis
2653,2017,67,Da Tweekaz
2655,2017,68,Jay Hardway
2657,2017,69,Claptone
2659,2017,70,Martin Jensen
2661,2017,71,Florian Picasso
2663,2017,72,Vini Vici
2665,2017,73,Jauz
2667,2017,74,Cat Dealers
2669,2017,75,Sam Feldt
2671,2017,76,Robin Schulz
2673,2017,77,Andy C
2675,2017,78,Carnage
2677,2017,79,Andrew Rayel
2679,2017,80,Richie Hawtin
2681,2017,81,Solomun
2683,2017,82,Steve Angello
2685,2017,83,Will Sparks
2687,2017,84,Mariana Bo
2689,2017,85,Black Coffee
2691,2017,86,Dillon Francis
2693,2017,87,Flume
2695,2017,88,Shogun
2697,2017,89,Alison Wonderland
2699,2017,90,Ferry Corsten
2701,2017,91,Maceo Plex
2703,2017,92,Carta
2705,2017,93,MOSIMANN
2707,2017,94,Julian Jordan
2709,2017,95,tchami
2711,2017,96,Porter Robinson
2713,2017,97,Paul Kalkbrenner
2715,2017,98,DJ L
2717,2017,99,Swanky Tunes
2719,2017,100,Disclosure
2721,2018,1,Martin Garrix
2723,2018,2,Dimitri Vegas & Like Mike
2725,2018,3,Hardwell
2727,2018,4,Armin Van Buuren
2729,2018,5,David Guetta
2731,2018,6,Tiësto
2733,2018,7,Don Diablo
2735,2018,8,Afrojack
2737,2018,9,Oliver Heldens
2739,2018,10,Marshmello
2741,2018,11,Steve Aoki
2743,2018,12,R3hab
2745,2018,13,Alok
2747,2018,14,W&W
2749,2018,15,Avicii
2751,2018,16,DVBBS
2753,2018,17,Lost Frequencies
2755,2018,18,KSHMR
2757,2018,19,Vintage Culture
2759,2018,20,Eric Prydz
2761,2018,21,Skrillex
2763,2018,22,Fedde Le Grand
2765,2018,23,Ummet Ozcan
2767,2018,24,DJ Snake
2769,2018,25,Quintino
2771,2018,26,VINAI
2773,2018,27,Nervo
2775,2018,28,Headhunterz
2777,2018,29,Angerfist
2779,2018,30,Bassjackers
2781,2018,31,The Chainsmokers
2783,2018,32,Kygo
2785,2018,33,Timmy Trumpet
2787,2018,34,Vini Vici
2789,2018,35,Wolfpack
2791,2018,36,Alan Walker
2793,2018,37,Blasterjaxx
2795,2018,38,Danny Avila
2797,2018,39,Kura
2799,2018,40,Calvin Harris
2801,2018,41,Axwell Λ Ingrosso
2803,2018,42,Diplo
2805,2018,43,Nicky Romero
2807,2018,44,Zedd
2809,2018,45,Alesso
2811,2018,46,Tujamo
2813,2018,47,Yellow Claw
2815,2018,48,Cat Dealers
2817,2018,49,ATB
2819,2018,50,Diego Miranda
2821,2018,51,Above & Beyond
2823,2018,52,Jeffrey Sutorius
2825,2018,53,Carl Cox
2827,2018,54,Martin Jensen
2829,2018,55,Paul van Dyk
2831,2018,56,Will Sparks
2833,2018,57,Claptone
2835,2018,58,Steve Angello
2837,2018,59,Deadmau5
2839,2018,60,Robin Schulz
2841,2018,61,Richie Hawtin
2843,2018,62,Florian Picasso
2845,2018,63,Swedish House Mafia
2847,2018,64,Jay Hardway
2849,2018,65,Miss K8
2851,2018,66,Mike Williams
2853,2018,67,Andrew Rayel
2855,2018,68,Mariana Bo
2857,2018,69,Radical Redemption
2859,2018,70,Brennan Heart
2861,2018,71,Swanky Tunes
2863,2018,72,MATTN
2865,2018,73,Carta
2867,2018,74,Aly & Fila
2869,2018,75,Ferry Corsten
2871,2018,76,Da Tweekaz
2873,2018,77,Breathe Carolina
2875,2018,78,Deniz Koyu
2877,2018,79,Adam Beyer
2879,2018,80,Daddy's Groove
2881,2018,81,Mosimann
2883,2018,82,tchami
2885,2018,83,NGHTMRE
2887,2018,84,DJ L
2889,2018,85,Wildstylez
2891,2018,86,Marco Carola
2893,2018,87,Cedric Gervais
2895,2018,88,MaRLo
2897,2018,89,Deorro
2899,2018,90,Andy C
2901,2018,91,Solomun
2903,2018,92,Lucas & Steve
2905,2018,93,Markus Schulz
2907,2018,94,Bobina
2909,2018,95,Paul Kalkbrenner
2911,2018,96,Alison Wonderland
2913,2018,97,Nina Kraviz
2915,2018,98,Rave Republic
2917,2018,99,Carl Nunes
2919,2018,100,SLANDER
2921,2019,1,Dimitri Vegas & Like Mike
2923,2019,2,Martin Garrix
2925,2019,3,David Guetta
2927,2019,4,Armin Van Buuren
2929,2019,5,Marshmello
2931,2019,6,Don Diablo
2933,2019,7,Oliver Heldens
2935,2019,8,Tiësto
2937,2019,9,Afrojack
2939,2019,10,Steve Aoki
2941,2019,11,Alok
2943,2019,12,Hardwell
2945,2019,13,Timmy Trumpet
2947,2019,14,R3hab
2949,2019,15,KSHMR
2951,2019,16,DJ Snake
2953,2019,17,Eric Prydz
2955,2019,18,W&W
2957,2019,19,Calvin Harris
2959,2019,20,Lost Frequencies
2961,2019,21,Skrillex
2963,2019,22,Above & Beyond
2965,2019,23,DVBBS
2967,2019,24,Nervo
2969,2019,25,Quintino
2971,2019,26,The Chainsmokers
2973,2019,27,Alan Walker
2975,2019,28,VINAI
2977,2019,29,Headhunterz
2979,2019,30,Fedde Le Grand
2981,2019,31,Vini Vici
2983,2019,32,Ummet Ozcan
2985,2019,33,Angerfist
2987,2019,34,Bassjackers
2989,2019,35,Carl Cox
2991,2019,36,Blasterjaxx
2993,2019,37,Nicky Romero
2995,2019,38,Wolfpack
2997,2019,39,ATB
2999,2019,40,Kura
3001,2019,41,Danny Avila
3003,2019,42,Swedish House Mafia
3005,2019,43,Tujamo
3007,2019,44,Alison Wonderland
3009,2019,45,Martin Jensen
3011,2019,46,Cat Dealers
3013,2019,47,Vintage Culture
3015,2019,48,Adam Beyer
3017,2019,49,Mariana Bo
3019,2019,50,Zedd
3021,2019,51,MATTN
3023,2019,52,Kygo
3025,2019,53,Claptone
3027,2019,54,Mike Williams
3029,2019,55,Diego Miranda
3031,2019,56,Yves V
3033,2019,57,Will Sparks
3035,2019,58,Steve Angello
3037,2019,59,Ferry Corsten
3039,2019,60,Nina Kraviz
3041,2019,61,Alesso
3043,2019,62,Breathe Carolina
3045,2019,63,FISHER
3047,2019,64,Illenium
3049,2019,65,Deorro
3051,2019,66,Richie Hawtin
3053,2019,67,Diplo
3055,2019,68,Da Tweekaz
3057,2019,69,Miss K8
3059,2019,70,3 Are Legend
3061,2019,71,Deadmau5
3063,2019,72,Carta
3065,2019,73,Carl Nunes
3067,2019,74,Charlotte de Witte
3069,2019,75,Warface
3071,2019,76,Cedric Gervais
3073,2019,77,Yellow Claw
3075,2019,78,Lucas & Steve
3077,2019,79,Andy C
3079,2019,80,Peggy Gou
3081,2019,81,Deniz Koyu
3083,2019,82,Robin Schulz
3085,2019,83,Vicetone
3087,2019,84,Tom & Collins
3089,2019,85,Boris Brejcha
3091,2019,86,Marco Carola
3093,2019,87,Paul van Dyk
3095,2019,88,Solardo
3097,2019,89,Thomas Gold
3099,2019,90,Black Coffee
3101,2019,91,Paul Kalkbrenner
3103,2019,92,Daddy's Groove
3105,2019,93,Julian Jordan
3107,2019,94,Rave Republic
3109,2019,95,Sub Zero Project
3111,2019,96,D.O.D
3113,2019,97,Henri PFR
3115,2019,98,Florian Picasso
3117,2019,99,Swanky Tunes
3119,2019,100,Solomun
3121,2020,1,David Guetta
3123,2020,2,Dimitri Vegas & Like Mike
3125,2020,3,Martin Garrix
3127,2020,4,Armin Van Buuren
3129,2020,5,Alok
3131,2020,6,Don Diablo
3133,2020,7,Afrojack
3135,2020,8,Oliver Heldens
3137,2020,9,Steve Aoki
3139,2020,10,Timmy Trumpet
3141,2020,11,Marshmello
3143,2020,12,KSHMR
3145,2020,13,R3hab
3147,2020,14,W&W
3149,2020,15,Skrillex
3151,2020,16,Tiësto
3153,2020,17,Hardwell
3155,2020,18,Calvin Harris
3157,2020,19,Above & Beyond
3159,2020,20,Nervo
3161,2020,21,Lost Frequencies
3163,2020,22,Eric Prydz
3165,2020,23,Fedde Le Grand
3167,2020,24,Vini Vici
3169,2020,25,DJ Snake
3171,2020,26,Alan Walker
3173,2020,27,The Chainsmokers
3175,2020,28,Kygo
3177,2020,29,Bassjackers
3179,2020,30,Vintage Culture
3181,2020,31,Nicky Romero
3183,2020,32,Charlotte de Witte
3185,2020,33,Quintino
3187,2020,34,Carl Cox
3189,2020,35,Zedd
3191,2020,36,Angerfist
3193,2020,37,Diplo
3195,2020,38,Danny Avila
3197,2020,39,VINAI
3199,2020,40,Tujamo
3201,2020,41,Claptone
3203,2020,42,MATTN
3205,2020,43,Illenium
3207,2020,44,Mariana Bo
3209,2020,45,Alesso
3211,2020,46,Headhunterz
3213,2020,47,Alison Wonderland
3215,2020,48,Adam Beyer
3217,2020,49,Wolfpack
3219,2020,50,Paul van Dyk
3221,2020,51,Diego Miranda
3223,2020,52,Cat Dealers
3225,2020,53,Ferry Corsten
3227,2020,54,Miss K8
3229,2020,55,DVBBS
3231,2020,56,ATB
3233,2020,57,REZZ
3235,2020,58,Will Sparks
3237,2020,59,Amelie Lens
3239,2020,60,Boris Brejcha
3241,2020,61,Carta
3243,2020,62,3 Are Legend
3245,2020,63,Breathe Carolina
3247,2020,64,Deadmau5
3249,2020,65,Ummet Ozcan
3251,2020,66,Nina Kraviz
3253,2020,67,Yellow Claw
3255,2020,68,Jamie Jones
3257,2020,69,Peggy Gou
3259,2020,70,Blasterjaxx
3261,2020,71,Julian Jordan
3263,2020,72,Deniz Koyu
3265,2020,73,Nora En Pure
3267,2020,74,Kura
3269,2020,75,Florian Picasso
3271,2020,76,TBC - marek
3273,2020,77,Tom & Collins
3275,2020,78,Brennan Heart
3277,2020,79,Mr Pig
3279,2020,80,Radical Redemption
3281,2020,81,Rave Republic
3283,2020,82,Pink Panda
3285,2020,83,D.O.D
3287,2020,84,Swedish House Mafia
3289,2020,85,Plastik Funk
3291,2020,86,Green Velvet
3293,2020,87,Sunnery James & Ryan Marciano
3295,2020,88,Aryue
3297,2020,89,Burak Yeter
3299,2020,90,Mike Williams
3301,2020,91,Black Coffee
3303,2020,92,Tungevaag
3305,2020,93,Deborah De Luca
3307,2020,94,Mike Perry
3309,2020,95,ANNA
3311,2020,96,Dimitri Vangelis & Wyman
3313,2020,97,Blastoyz
3315,2020,98,22Bullets
3317,2020,99,Robin Schulz
3319,2020,100,Marco Carola
3321,2021,1,David Guetta
3323,2021,2,Martin Garrix
3325,2021,3,Armin Van Buuren
3327,2021,4,Alok
3329,2021,5,Dimitri Vegas & Like Mike
3331,2021,6,Afrojack
3333,2021,7,Don Diablo
3335,2021,8,Oliver Heldens
3337,2021,9,Timmy Trumpet
3339,2021,10,Steve Aoki
3341,2021,11,KSHMR
3343,2021,12,R3hab
3345,2021,13,Marshmello
3347,2021,14,W&W
3349,2021,15,Tiësto
3351,2021,16,Calvin Harris
3353,2021,17,Vintage Culture
3355,2021,18,Nervo
3357,2021,19,Fedde Le Grand
3359,2021,20,Vini Vici
3361,2021,21,Above & Beyond
3363,2021,22,Alan Walker
3365,2021,23,Charlotte de Witte
3367,2021,24,Skrillex
3369,2021,25,Lost Frequencies
3371,2021,26,Nicky Romero
3373,2021,27,Carl Cox
3375,2021,28,Bassjackers
3377,2021,29,The Chainsmokers
3379,2021,30,Quintino
3381,2021,31,Eric Prydz
3383,2021,32,Claptone
3385,2021,33,DJ Snake
3387,2021,34,Danny Avila
3389,2021,35,ATB
3391,2021,36,Tujamo
3393,2021,37,GORDO
3395,2021,38,Peggy Gou
3397,2021,39,MORTEN
3399,2021,40,Mariana Bo
3401,2021,41,Paul van Dyk
3403,2021,42,Boris Brejcha
3405,2021,43,Ummet Ozcan
3407,2021,44,Amelie Lens
3409,2021,45,REZZ
3411,2021,46,Angerfist
3413,2021,47,Diego Miranda
3415,2021,48,Kygo
3417,2021,49,Alison Wonderland
3419,2021,50,Jamie Jones
3421,2021,51,VINAI
3423,2021,52,Deadmau5
3425,2021,53,Miss K8
3427,2021,54,Nina Kraviz
3429,2021,55,Beauz
3431,2021,56,Will Sparks
3433,2021,57,Ferry Corsten
3435,2021,58,Adam Beyer
3437,2021,59,Nora En Pure
3439,2021,60,Carta
3441,2021,61,Blasterjaxx
3443,2021,62,Breathe Carolina
3445,2021,63,Alesso
3447,2021,64,Zedd
3449,2021,65,Pink Panda
3451,2021,66,Julian Jordan
3453,2021,67,MATTN
3455,2021,68,Black Coffee
3457,2021,69,Panta Q
3459,2021,70,Mike Williams
3461,2021,71,Deniz Koyu
3463,2021,72,Naeleck
3465,2021,73,Brennan Heart
3467,2021,74,Kura
3469,2021,75,Tom & Collins
3471,2021,76,Mr Pig
3473,2021,77,FISHER
3475,2021,78,Virtual Riot
3477,2021,79,D.O.D
3479,2021,80,Plastik Funk
3481,2021,81,Green Velvet
3483,2021,82,Burak Yeter
3485,2021,83,KAAZE
3487,2021,84,Aryue
3489,2021,85,Cat Dealers
3491,2021,86,Rave Republic
3493,2021,87,Sunnery James & Ryan Marciano
3495,2021,88,MaRLo
3497,2021,89,Tungevaag
3499,2021,90,Giftback
3501,2021,91,Christina Novelli
3503,2021,92,22Bullets
3505,2021,93,KAKA
3507,2021,94,Blastoyz
3509,2021,95,Florian Picasso
3511,2021,96,Luminn
3513,2021,97,Alexso
3515,2021,98,Daddy’s Groove
3517,2021,99,Dexter King
3519,2021,100,VIZE
3521,2022,1,Martin Garrix
3523,2022,2,David Guetta
3525,2022,3,Dimitri Vegas & Like Mike
3527,2022,4,Alok
3529,2022,5,Armin Van Buuren
3531,2022,6,Afrojack
3533,2022,7,Steve Aoki
3535,2022,8,Timmy Trumpet
3537,2022,9,Don Diablo
3539,2022,10,Oliver Heldens
3541,2022,11,Vintage Culture
3543,2022,12,KSHMR
3545,2022,13,R3hab
3547,2022,14,Charlotte de Witte
3549,2022,15,Tiësto
3551,2022,16,Calvin Harris
3553,2022,17,Alan Walker
3555,2022,18,W&W
3557,2022,19,Fedde Le Grand
3559,2022,20,Nicky Romero
3561,2022,21,Vini Vici
3563,2022,22,Carl Cox
3565,2022,23,Skrillex
3567,2022,24,Peggy Gou
3569,2022,25,GORDO
3571,2022,26,Marshmello
3573,2022,27,Bassjackers
3575,2022,28,Lost Frequencies
3577,2022,29,Eric Prydz
3579,2022,30,Above & Beyond
3581,2022,31,Claptone
3583,2022,32,Jamie Jones
3585,2022,33,Quintino
3587,2022,34,Mariana Bo
3589,2022,35,Tujamo
3591,2022,36,Danny Avila
3593,2022,37,Amelie Lens
3595,2022,38,Paul van Dyk
3597,2022,39,Black Coffee
3599,2022,40,Nervo
3601,2022,41,Ummet Ozcan
3603,2022,42,ATB
3605,2022,43,Hardwell
3607,2022,44,DJ Snake
3609,2022,45,VINAI
3611,2022,46,The Chainsmokers
3613,2022,47,Alison Wonderland
3615,2022,48,FISHER
3617,2022,49,Reinier Zonneveld
3619,2022,50,Deborah De Luca
3621,2022,51,Adam Beyer
3623,2022,52,Blasterjaxx
3625,2022,53,Beauz
3627,2022,54,Diego Miranda
3629,2022,55,REZZ
3631,2022,56,MORTEN
3633,2022,57,Nora En Pure
3635,2022,58,Zedd
3637,2022,59,Carta
3639,2022,60,Julian Jordan
3641,2022,61,Boris Brejcha
3643,2022,62,Will Sparks
3645,2022,63,Angerfist
3647,2022,64,Alesso
3649,2022,65,Deadmau5
3651,2022,66,Cat Dealers
3653,2022,67,Joel Corry
3655,2022,68,Brennan Heart
3657,2022,69,Topic
3659,2022,70,KAAZE
3661,2022,71,Tom & Collins
3663,2022,72,Plastik Funk
3665,2022,73,Kura
3667,2022,74,Naeleck
3669,2022,75,Pink Panda
3671,2022,76,Burak Yeter
3673,2022,77,Swedish House Mafia
3675,2022,78,MATTN
3677,2022,79,Breathe Carolina
3679,2022,80,Ofenbach
3681,2022,81,Tungevaag
3683,2022,82,Green Velvet
3685,2022,83,22Bullets
3687,2022,84,Lucas & Steve
3689,2022,85,Mr Pig
3691,2022,86,Aryue
3693,2022,87,Ferry Corsten
3695,2022,88,Solomun
3697,2022,89,Miss K8
3699,2022,90,Honey Dijon
3701,2022,91,Acraze
3703,2022,92,Le Twins
3705,2022,93,Dubdogz
